no,sym,ja,en,hira,romaji,alts,trivia,diff,score
1,H,水素,Hydrogen,すいそ,suiso,,宇宙で最も豊富な元素。太陽の主成分,1,10
2,He,ヘリウム,Helium,へりうむ,heriumu,,風船に使われる軽い気体。最初に宇宙で発見,1,10
3,Li,リチウム,Lithium,りちうむ,richiumu,ritiumu,充電池に使われる最も軽い金属,1,10
4,Be,ベリリウム,Beryllium,べりりうむ,beririumu,,エメラルドに含まれる。X線を通しやすい,2,20
5,B,ホウ素,Boron,ほうそ,houso,,ガラス強化・半導体材料として重要,1,10
6,C,炭素,Carbon,たんそ,tanso,tannso,ダイヤモンドも黒鉛もこの元素でできている,1,10
7,N,窒素,Nitrogen,ちっそ,chisso,tisso,空気の約78%を占める不活性な気体,1,10
8,O,酸素,Oxygen,さんそ,sanso,sannso,呼吸と燃焼に不可欠な気体。空気の21%,1,10
9,F,フッ素,Fluorine,ふっそ,fusso,husso,歯磨き粉に含まれ虫歯を防ぐ,1,10
10,Ne,ネオン,Neon,ねおん,neon,neonn,ネオンサインに使われる希ガス,1,10
11,Na,ナトリウム,Sodium,なとりうむ,natoriumu,,食塩の成分。炎色反応は鮮やかな黄色,1,10
12,Mg,マグネシウム,Magnesium,まぐねしうむ,maguneshiumu,magunesiumu,花火の白い炎の原料。人体に必須のミネラル,1,15
13,Al,アルミニウム,Aluminium,あるみにうむ,aruminiumu,,軽くて錆びにくい。地殻中で最多の金属元素,1,15
14,Si,ケイ素,Silicon,けいそ,keiso,,半導体の材料。シリコンバレーの名の由来,1,10
15,P,リン,Phosphorus,りん,rin,rinn,骨・歯・DNAの重要成分。マッチに使われる,1,10
16,S,硫黄,Sulfur,いおう,iou,,火山で産出する黄色い固体。温泉の香り成分,1,10
17,Cl,塩素,Chlorine,えんそ,enso,ennso,プールの消毒に使われる黄緑色の気体,1,10
18,Ar,アルゴン,Argon,あるごん,arugon,arugonn,白熱電球内に封入される。空気の1%,1,10
19,K,カリウム,Potassium,かりうむ,kariumu,,バナナに豊富。筋肉や神経に不可欠なミネラル,1,10
20,Ca,カルシウム,Calcium,かるしうむ,karushiumu,karusiumu,骨・歯の主成分。牛乳に豊富,1,15
21,Sc,スカンジウム,Scandium,すかんじうむ,sukanjiumu,sukanziumu|sukannjiumu|sukannziumu,自転車フレームなどスポーツ用品の軽合金材料,2,20
22,Ti,チタン,Titanium,ちたん,chitan,titan|titann|chitann,軽くて強い。インプラントや航空機に使われる,1,15
23,V,バナジウム,Vanadium,ばなじうむ,banajiumu,banaziumu,鉄鋼の強度向上に使われる遷移金属,2,20
24,Cr,クロム,Chromium,くろむ,kuromu,,ステンレス鋼の必須成分。クロームメッキの材料,1,15
25,Mn,マンガン,Manganese,まんがん,mangan,mangann|manngan|manngann,乾電池の電極材料。鉄鋼の強化剤,1,15
26,Fe,鉄,Iron,てつ,tetsu,tetu,地球の核の主成分。人類が最も多く使う金属,1,10
27,Co,コバルト,Cobalt,こばると,kobaruto,,青いコバルトブルー色の由来。磁石の材料,1,15
28,Ni,ニッケル,Nickel,にっける,nikkeru,,硬貨の材料。ニクロム線に使われる,1,15
29,Cu,銅,Copper,どう,dou,,電線に広く使われる。熱・電気の良導体,1,10
30,Zn,亜鉛,Zinc,あえん,aen,aenn,鉄の防錆めっきに使われる。亜鉛華軟膏,1,10
31,Ga,ガリウム,Gallium,がりうむ,gariumu,,手の平の熱(30℃)で溶ける低融点金属,2,20
32,Ge,ゲルマニウム,Germanium,げるまにうむ,gerumaniumu,,メンデレーエフが発見を予言した元素,2,20
33,As,ヒ素,Arsenic,ひそ,hiso,,有名な毒。半導体にも使われる準金属,1,15
34,Se,セレン,Selenium,せれん,seren,serenn,光で電気を通す光電効果がある。コピー機に利用,2,20
35,Br,臭素,Bromine,しゅうそ,shuuso,syuuso,常温で液体の唯一の非金属元素,2,20
